prediction;test_price
41.76;45.78
42.06;45.72
42.43;45.38
42.61;45.39
42.22;45.66
42.1;45.86
42.15;46.03
42.16;46.09
42.37;46.25
42.58;46.4
42.85;45.91
43.14;45.5
42.82;46.07
42.42;46.95
42.52;46.68
42.81;47.61
42.8;46.74
43.35;46.63
43.22;46.6
43.05;46.3
43.2;45.95
42.93;46.54
42.83;47.77
43.13;47.87
43.74;48.79
43.78;47.65
44.19;47.45
43.88;47.47
43.55;47.48
43.45;47.28
43.79;47.29
43.82;47.76
43.87;48.17
43.92;48.99
44.25;48.93
44.64;49.29
44.76;50.43
44.91;50.43
45.58;50.83
45.81;50.82
46.14;50.47
46.52;50.28
46.13;50.37
46.07;51.03
46.08;50.39
46.25;50.75
46.05;50.97
46.32;50.82
46.32;51.1
46.19;51.18
46.24;51.37
46.55;51.38
46.69;51.3
46.77;51.98
46.69;52.1
47.25;51.04
47.38;50.64
46.97;50.71
46.71;50.1
46.72;50.39
46.56;50.93
46.5;51.03
46.71;51.72
46.71;52.16
46.89;52.8
47.23;52.69
47.73;52.65
47.84;53.65
48.0;53.9
48.3;53.39
48.62;53.6
48.55;53.98
48.51;53.83
48.62;53.12
48.57;52.64
48.07;53.23
47.52;52.64
47.71;53.08
47.41;52.54
47.56;52.94
47.29;52.79
47.67;53.1
47.58;52.99
47.66;53.71
47.84;53.52
48.3;53.83
48.38;53.94
48.8;54.98
49.06;55.28
49.87;56.19
50.0;56.6
50.59;56.6
50.84;55.04
50.79;56.79
49.85;56.72
50.62;56.08
50.7;57.55
50.42;57.97
50.97;58.51
51.49;57.9
51.83;57.96
51.84;57.84
51.81;58.89
51.56;58.74
51.88;59.09
51.83;59.71
51.96;60.57
52.35;60.82
53.04;61.76
53.4;61.69
54.23;62.32
54.43;62.82
54.95;62.93
55.17;63.07
54.95;63.26
54.88;62.14
54.92;62.24
54.41;61.81
54.43;61.54
54.25;61.29
54.03;60.98
53.7;61.22
53.81;62.34
53.75;61.94
54.4;60.43
54.43;58.97
53.52;59.64
52.39;60.15
52.55;59.0
52.75;59.02
52.52;60.62
52.39;59.67
53.1;59.64
52.93;58.88
52.84;60.11
52.48;59.64
52.92;60.28
52.53;61.03
52.62;60.14
52.94;57.94
52.62;58.64
51.68;58.37
51.68;58.49
51.23;59.09
51.47;59.57
51.64;59.03
52.13;59.76
51.74;59.14
51.99;59.46
51.83;59.66
51.87;60.49
52.09;60.71
52.97;60.68
53.29;62.24
53.33;62.61
53.91;61.63
54.32;60.79
54.03;61.1
53.44;61.53
53.09;60.91
53.36;60.2
53.11;60.25
52.74;60.43
52.55;60.34
52.48;60.74
52.55;60.4
52.64;60.0
52.47;60.43
52.46;61.1
52.73;62.17
53.19;61.72
54.02;62.68
54.04;61.61
54.47;61.46
53.72;60.51
53.57;59.76
53.08;59.81
52.48;59.79
52.14;58.31
52.12;58.12
51.32;57.8
51.08;57.85
51.15;57.15
51.09;57.62
50.56;57.7
51.01;57.35
50.9;56.73
50.69;56.84
50.42;57.1
50.41;56.86
50.49;56.96
50.64;57.13
50.82;57.3
51.35;57.39
51.4;57.57
51.38;58.73
51.5;59.77
51.69;61.22
52.29;62.34
53.52;62.58
54.54;62.61
54.98;62.73
54.96;61.43
55.07;60.77
54.58;60.53
53.89;60.13
53.31;60.25
52.85;60.99
52.62;60.94
53.24;60.28
53.44;60.6
53.17;60.65
53.21;59.85
52.81;61.04
52.22;60.38
52.71;59.83
52.61;59.44
52.32;61.3
52.32;61.89
53.22;62.47
53.8;62.11
54.17;62.02
54.26;62.09
54.07;62.77
53.52;63.2
53.64;64.5
53.86;63.68
54.51;64.55
53.97;64.74
54.28;64.5
54.59;64.43
54.54;64.01
54.7;64.12
54.72;64.51
54.79;64.32
55.19;64.36
55.27;64.5
55.01;62.77
55.03;64.11
54.34;63.88
54.52;63.35
54.45;64.47
54.27;65.45
54.86;65.44
55.4;64.97
55.85;64.61
55.84;64.72
55.86;65.38
55.66;65.62
56.04;65.19
56.23;66.54
55.95;66.16
56.37;65.94
56.39;66.29
56.12;65.34
56.33;65.41
55.98;65.65
55.86;66.8
55.88;66.47
56.56;66.9
56.61;65.92
56.74;65.89
55.98;65.88
55.83;66.73
55.91;66.87
56.24;68.33
56.56;69.05
57.33;68.51
57.57;69.35
57.63;69.89
58.2;70.62
58.38;70.36
58.73;72.14
58.71;72.3
59.4;72.18
59.81;72.03
59.86;71.75
59.84;72.24
59.59;71.18
59.67;70.88
59.43;71.34
59.08;69.34
59.31;70.45
58.51;70.29
58.64;70.23
58.56;70.01
58.71;70.22
58.76;71.27
58.58;70.78
58.96;68.82
58.9;68.37
58.15;68.97
57.68;67.5
57.68;69.29
57.22;68.71
57.61;66.23
57.53;67.24
56.18;67.91
56.11;71.51
56.53;71.61
58.27;72.92
58.99;73.62
59.88;73.73
60.13;73.72
60.39;74.98
60.39;75.31
60.86;74.64
61.16;74.94
61.01;75.83
60.7;76.4
61.16;75.91
61.17;75.78
61.17;76.16
61.09;76.47
61.22;75.2
61.38;77.33
60.99;78.24
61.56;78.87
61.95;77.8
62.38;77.57
62.2;76.7
62.31;77.01
62.03;75.64
62.07;75.77
61.45;77.02
61.25;77.59
61.57;76.2
61.79;76.47
61.15;76.04
61.07;75.22
61.08;75.28
60.53;74.4
60.44;74.27
60.3;74.75
59.96;75.77
60.46;77.19
61.01;77.29
62.06;77.31
62.33;76.11
62.5;74.88
61.86;75.3
60.95;76.15
60.55;73.35
60.84;72.88
59.93;73.45
59.3;73.49
59.57;74.71
59.7;75.7
60.17;74.86
61.07;75.19
61.03;75.25
61.24;75.32
61.17;74.03
61.06;73.61
60.6;74.42
60.57;75.08
61.2;75.29
61.59;76.0
62.01;76.86
62.34;76.68
62.87;75.98
62.82;77.22
62.29;77.55
62.96;78.0
63.21;77.68
63.47;76.58
63.23;75.85
62.85;76.08
62.14;76.7
62.14;76.74
62.2;77.78
62.24;77.93
62.82;78.85
62.74;79.25
62.98;79.11
63.53;79.52
63.33;79.5
63.16;79.75
62.85;79.38
62.82;79.72
63.0;80.23
63.29;80.07
63.66;80.89
63.94;80.2
63.91;79.79
63.77;78.36
63.88;78.36
63.21;78.83
62.86;78.7
62.92;79.09
63.09;79.27
63.36;78.38
63.6;78.32
63.52;78.24
63.56;79.4
63.65;79.92
64.5;80.72
64.91;81.14
65.21;81.83
65.46;81.8
65.79;82.18
65.78;81.94
66.0;81.25
65.83;82.54
65.7;82.2
65.9;82.23
66.06;82.1
66.01;81.53
65.57;80.77
65.23;80.47
64.92;81.21
64.68;81.14
64.78;81.58
64.79;81.42
64.77;82.14
64.66;81.6
65.01;82.47
64.87;81.57
65.11;82.53
64.63;81.27
65.0;80.8
64.71;82.56
64.35;82.09
65.07;81.94
64.84;80.92
64.56;82.19
63.79;82.8
64.1;82.53
64.4;82.9
64.44;83.85
64.59;84.49
64.94;85.14
65.49;85.26
66.04;85.02
66.28;85.53
66.57;85.63
66.7;85.53
66.97;85.19
66.93;85.52
66.64;85.39
66.67;85.06
66.46;85.93
66.06;86.06
66.15;85.3
66.47;86.06
66.19;85.7
66.65;84.79
66.24;84.72
65.97;85.14
65.9;84.86
66.04;85.25
66.05;85.43
66.42;85.48
66.6;85.49
66.57;85.63
66.31;84.5
66.29;83.57
66.04;84.65
65.51;83.34
65.5;83.98
65.04;84.06
65.23;84.25
65.69;82.79
65.85;82.13
65.37;83.7
65.01;83.81
65.47;82.44
65.73;83.38
65.31;81.11
65.72;81.64
64.81;79.41
64.73;79.62
63.73;77.68
63.69;77.35
62.69;79.33
62.12;80.93
62.82;82.84
63.66;82.43
64.73;83.27
65.0;83.85
65.44;83.7
65.72;85.1
65.25;84.73
66.1;85.38
66.18;86.48
66.63;86.79
67.01;85.5
67.27;86.12
66.38;87.06
66.05;85.17
